,zurich,penumbra,compactness,x_ray_class,association
1987-08-08 13:46:00,E,A,I,M,associated
1987-08-13 13:38:00,D,S,O,M,associated
1987-08-22 09:30:00,C,S,O,M,associated
1987-08-22 16:39:00,C,R,O,M,associated
1987-08-23 22:35:00,D,A,O,M,associated
1987-09-21 01:57:00,B,X,O,M,associated
1987-10-16 09:50:00,D,A,I,M,associated
1987-10-17 12:21:00,D,A,I,M,associated
1987-11-04 17:13:00,E,K,O,M,associated
1987-11-04 23:23:00,E,A,O,M,associated
1987-11-05 04:56:00,C,A,O,M,associated
1987-11-18 03:17:00,D,K,C,M,associated
1987-11-19 07:41:00,D,S,I,M,associated
1987-11-20 04:12:00,D,A,I,M,associated
1987-11-20 23:31:00,D,A,O,M,associated
1987-12-26 18:04:00,E,K,O,M,associated
1987-12-26 19:40:00,E,K,O,M,associated
1988-01-02 21:11:00,C,H,O,X,associated
1988-01-14 09:05:00,E,S,I,M,associated
1988-01-14 14:58:00,D,S,O,M,associated
1988-02-20 04:05:00,C,S,O,M,associated
1988-03-15 08:24:00,E,K,I,M,associated
1988-03-15 09:21:00,E,K,O,M,associated
1988-03-15 11:45:00,E,K,O,M,associated
1988-03-15 16:07:00,F,H,I,M,associated
1988-03-15 20:39:00,F,K,I,M,associated
1988-03-15 22:16:00,F,K,I,M,associated
1988-03-16 02:44:00,F,H,I,M,associated
1988-03-16 05:48:00,F,K,I,M,associated
1988-03-16 09:45:00,F,K,O,M,associated
1988-03-16 14:12:00,F,H,I,M,associated
1988-03-16 15:41:00,F,H,I,M,associated
1988-03-16 18:38:00,F,H,I,M,associated
1988-03-16 21:29:00,F,H,I,M,associated
1988-03-17 20:46:00,F,K,I,M,associated
1988-03-18 10:04:00,F,K,I,M,associated
1988-03-24 10:19:00,C,A,O,M,associated
1988-03-24 16:34:00,E,A,I,M,associated
1988-03-25 11:17:00,D,S,O,M,associated
1988-04-12 17:07:00,F,A,I,M,associated
1988-04-14 19:34:00,F,A,I,X,associated
1988-04-15 21:12:00,F,K,I,M,associated
1988-04-17 04:29:00,F,A,O,M,associated
1988-04-18 05:09:00,F,K,I,M,associated
1988-04-20 10:02:00,F,K,I,M,associated
1988-04-21 09:16:00,F,S,I,M,associated
1988-04-21 09:16:00,F,K,I,M,associated
1988-04-22 14:07:00,E,A,I,M,associated
1988-05-23 12:00:00,E,K,C,M,associated
1988-05-26 01:00:00,E,S,I,M,associated
1988-05-26 01:00:00,E,K,I,M,associated
1988-05-26 20:32:00,F,A,I,M,associated
1988-05-27 13:43:00,F,K,C,M,associated
1988-05-28 00:43:00,F,K,C,M,associated
1988-06-21 23:39:00,E,K,I,M,associated
1988-06-22 22:23:00,E,K,C,M,associated
1988-06-23 08:56:00,E,K,C,X,associated
1988-06-23 17:53:00,E,K,C,M,associated
1988-06-24 04:18:00,D,K,C,X,associated
1988-06-24 16:03:00,E,K,C,X,associated
1988-06-24 16:44:00,E,K,C,X,associated
1988-06-25 11:09:00,E,K,C,M,associated
1988-06-25 12:48:00,E,K,C,M,associated
1988-06-26 13:40:00,F,K,C,M,associated
1988-06-27 02:49:00,F,K,I,M,associated
1988-06-27 05:49:00,D,A,O,M,associated
1988-06-28 04:44:00,F,K,C,M,associated
1988-06-28 10:12:00,D,S,I,M,associated
1988-06-28 11:10:00,E,K,C,M,associated
1988-06-28 17:26:00,F,K,C,M,associated
1988-06-28 19:55:00,F,K,C,M,associated
1988-06-29 00:28:00,F,K,C,M,associated
1988-06-29 20:15:00,F,K,C,M,associated
1988-06-30 09:04:00,F,K,C,M,associated
1988-07-02 00:41:00,F,K,I,M,associated
1988-07-07 05:58:00,E,K,I,M,associated
1988-07-07 07:22:00,E,K,I,M,associated
1988-07-13 00:28:00,D,S,I,M,associated
1988-07-25 19:28:00,D,A,O,M,associated
1988-07-29 21:31:00,D,K,I,M,associated
1988-07-30 08:47:00,F,K,I,M,associated
1988-07-31 07:18:00,F,K,O,M,associated
1988-08-01 05:33:00,F,K,O,M,associated
1988-08-02 17:21:00,F,A,O,M,associated
1988-08-03 20:34:00,D,K,I,M,associated
1988-08-08 07:58:00,F,A,I,M,associated
1988-08-26 10:58:00,E,K,O,M,associated
1988-09-08 12:33:00,C,A,O,M,associated
1988-09-19 11:15:00,B,X,O,M,associated
1988-09-22 08:05:00,D,S,O,M,associated
1988-09-25 00:24:00,D,S,O,M,associated
1988-09-27 09:50:00,D,K,O,M,associated
1988-09-27 16:07:00,D,K,O,M,associated
1988-09-28 22:55:00,D,K,O,M,associated
1988-09-29 05:44:00,E,K,I,M,associated
1988-09-30 19:00:00,D,K,I,M,associated
1988-10-03 13:22:00,C,K,O,M,associated
1988-10-03 14:53:00,E,K,O,X,associated
1988-10-03 22:32:00,E,K,O,M,associated
1988-10-03 23:22:00,E,K,O,X,associated
1988-10-05 06:21:00,E,K,I,M,associated
1988-10-05 06:21:00,B,X,O,M,associated
1988-10-06 01:24:00,C,K,O,M,associated
1988-10-10 18:03:00,D,K,O,M,associated
1988-10-12 04:57:00,C,K,O,X,associated
1988-10-17 04:10:00,D,S,O,M,associated
1988-10-17 14:10:00,D,K,O,M,associated
1988-10-18 00:33:00,D,H,I,M,associated
1988-10-19 22:05:00,F,K,I,M,associated
1988-10-29 14:37:00,D,H,I,M,associated
1988-11-01 10:55:00,D,S,O,M,associated
1988-11-01 21:45:00,D,A,O,M,associated
1988-11-06 18:20:00,C,K,O,M,associated
1988-11-07 11:05:00,D,K,I,M,associated
1988-11-09 12:03:00,E,K,I,M,associated
1988-11-09 19:32:00,E,K,O,M,associated
1988-11-12 16:05:00,F,A,I,M,associated
1988-11-13 16:28:00,F,K,I,M,associated
1988-11-13 20:22:00,F,K,I,M,associated
1988-11-13 21:48:00,F,K,I,M,associated
1988-11-13 22:52:00,D,K,I,M,associated
